title,year,director,duration,cast,genre,imdb_rating
Fortress,1992,Stuart Gordon,95,"Christopher Lambert, Loryn Locklin, Kurtwood Smith",Comedy Thriller,5.9
Fortress,1992,Stuart Gordon,95,"Christopher Lambert, Loryn Locklin, Kurtwood Smith",Comedy,5.9
The Bodyguard,1992,Mick Jackson,130,"Kevin Costner, Whitney Houston, Christopher Birt",Action,6.4
The Bodyguard,1992,Mick Jackson,130,"Kevin Costner, Whitney Houston, Christopher Birt",Animation,6.4
The Bodyguard,1992,Mick Jackson,130,"Kevin Costner, Whitney Houston, Christopher Birt",Based-on-Comics,6.4
Enchanted April,1992,Mike Newell,95,"Miranda Richardson, Joan Plowright, Alfred Molina",Action Thriller,7.3
Enchanted April,1992,Mike Newell,95,"Miranda Richardson, Joan Plowright, Alfred Molina",Action,7.3
Enchanted April,1992,Mike Newell,95,"Miranda Richardson, Joan Plowright, Alfred Molina",Adventure,7.3
Encino Man,1992,Les Mayfield,88,"Sean Astin, Pauly Shore, Brendan Fraser",Drama,5.8
Encino Man,1992,Les Mayfield,88,"Sean Astin, Pauly Shore, Brendan Fraser",Female-Directed Film,5.8
Encino Man,1992,Les Mayfield,88,"Sean Astin, Pauly Shore, Brendan Fraser",Home Invasion Film,5.8
Lorenzo's Oil,1992,George Miller,129,"Nick Nolte, Susan Sarandon, Peter Ustinov",Comedy,7.3
Lorenzo's Oil,1992,George Miller,129,"Nick Nolte, Susan Sarandon, Peter Ustinov",Comedy of Manners,7.3
Lorenzo's Oil,1992,George Miller,129,"Nick Nolte, Susan Sarandon, Peter Ustinov",Sports Comedy,7.3
Hellraiser III: Hell on Earth,1992,Anthony Hickox,97,"Doug Bradley, Paula Marshall, Terry Farrell",Mystery,5.5
Hellraiser III: Hell on Earth,1992,Anthony Hickox,97,"Doug Bradley, Paula Marshall, Terry Farrell",Drama,5.5
Hellraiser III: Hell on Earth,1992,Anthony Hickox,97,"Doug Bradley, Paula Marshall, Terry Farrell",Police Detective Film,5.5
George Carlin: Jammin' in New York,1992,Rocco Urbishi,59,George Carlin,Action Comedy,8.6
George Carlin: Jammin' in New York,1992,Rocco Urbishi,59,George Carlin,Action Thriller,8.6
George Carlin: Jammin' in New York,1992,Rocco Urbishi,59,George Carlin,Action,8.6
Brain Donors,1992,Dennis Dugan,80,"John Turturro, Mel Smith, Nancy Marchand",Action,6.9
Brain Donors,1992,Dennis Dugan,80,"John Turturro, Mel Smith, Nancy Marchand",Adventure,6.9
Brain Donors,1992,Dennis Dugan,80,"John Turturro, Mel Smith, Nancy Marchand",Costume Adventure,6.9
Forever Young,1992,Steve Miner,102,"Mel Gibson, Elijah Wood, Jamie Lee Curtis",Comedy,6.3
Forever Young,1992,Steve Miner,102,"Mel Gibson, Elijah Wood, Jamie Lee Curtis",Romance,6.3
Forever Young,1992,Steve Miner,102,"Mel Gibson, Elijah Wood, Jamie Lee Curtis",Romantic Comedy,6.3
Gladiator,1992,Rowdy Herrington,101,"Ossie Davis, James Marshall, Cuba Gooding Jr.",Drama,6.5
Gladiator,1992,Rowdy Herrington,101,"Ossie Davis, James Marshall, Cuba Gooding Jr.",Western,6.5
Trespass,1992,Walter Hill,101,"Bill Paxton, William Sadler, Ice-T",Adventure,6.3
Trespass,1992,Walter Hill,101,"Bill Paxton, William Sadler, Ice-T",Cyborg / Android / Robot,6.3
Trespass,1992,Walter Hill,101,"Bill Paxton, William Sadler, Ice-T",Holiday Film,6.3
Godzilla and Mothra: The Battle for Earth,1992,Takao Okawara,102,"Tetsuya Bessho, Satomi Kobayashi, Takehiro Murata",Action,6.1
Godzilla and Mothra: The Battle for Earth,1992,Takao Okawara,102,"Tetsuya Bessho, Satomi Kobayashi, Takehiro Murata",Action Thriller,6.1
Godzilla and Mothra: The Battle for Earth,1992,Takao Okawara,102,"Tetsuya Bessho, Satomi Kobayashi, Takehiro Murata",Crime,6.1
Stay Tuned,1992,Peter Hyams,88,"John Ritter, Pam Dawber, David Tom",Period Film,6.3
Stay Tuned,1992,Peter Hyams,88,"John Ritter, Pam Dawber, David Tom",Post-Noir,6.3
