title,year,director,duration,cast,genre,imdb_rating
Beneath the Planet of the Apes,1970,Ted Post,95,"James Franciscus, Kim Hunter, Maurice Evans",Docudrama  •  Drama  •  New Hollywood,6
Brewster McCloud,1970,Robert Altman,105,"Bud Cort, Sally Kellerman, Michael Murphy",Combat Films  •  Drama  •  War,6.9
Beyond the Valley of the Dolls,1970,Russ Meyer,109,"Michael Blodgett, Marcia McBroom, Dolly Read",Horror  •  Psychological Horror  •  Psychological Thriller,6.1
Chisum,1970,Andrew V. McLaglen,111,"John Wayne, Forrest Tucker, Christopher George",Based-on-a-True-Story  •  Costume Romance  •  Drama,6.8
The Private Life of Sherlock Holmes,1970,Billy Wilder,125,"Robert Stephens, Colin Blakely, Tamara Toumanova",Black Comedy  •  Cannibal Film  •  Horror Comedy,7
The Vampire Lovers,1970,Roy Ward Baker,91,"Ingrid Pitt, Peter Cushing, Pippa Steel",Action Thriller  •  Action  •  Based-on-21st-Century-Literature,6.4
Tristana,1970,Luis Buñuel,105,"Catherine Deneuve, Fernando Rey, Franco Nero",Canuxploitation  •  Horror  •  Mystery,7.4
Deep End,1970,Jerzy Skolimowski,90,"Jane Asher, John Moulder-Brown, Diana Dors",Adventure  •  Escape Film  •  Family,7.2
Dodes'ka-den,1970,Akira Kurosawa,140,"Yoshitaka Zushi, Kin Sugai, Toshiyuki Tonomura",Based-on-Theatre  •  Fantasy  •  Musical Romance,7.3
7 Plus Seven,1970,Michael Apted,52,"Bruce Balden, Jacqueline Bassett, Symon Basterfield",Drama  •  Foreign Language Film  •  Romance,7.9
A Man Called Horse,1970,Elliot Silverstein,114,"Richard Harris, Judith Anderson, Jean Gascon",Based-on-21st-Century-Literature  •  Drama  •  Period Film,6.8
The Out of Towners,1970,Arthur Hiller,98,"Sandy Dennis, Anne Meara, Robert Nichols",Black Comedy  •  Comedy Drama  •  Comedy Thriller,7
Husbands,1970,John Cassavetes,138,"Ben Gazzara, Peter Falk, John Cassavetes",Drama  •  Feminist Film  •  Period Film,7.1
Airport,1970,George Seaton,137,"Burt Lancaster, Dean Martin, Jean Seberg",Crime  •  Crime Drama  •  Drama,6.6
Scrooge,1970,Ronald Neame,120,"Albert Finney, Edith Evans, David Collings",Comedy  •  Crime  •  Foreign Language Film,7.5
Taste the Blood of Dracula,1970,Peter Sasdy,91,"Christopher Lee, Geoffrey Keen, Gwen Watford",Comedy Drama  •  Cross-Dressing / Gender-Bending  •  Period Film,6.3
Let It Be,1970,Michael Lindsay-Hogg,80,"The Beatles, Yoko Ono, Michael Lindsay-Hogg",Mystery  •  Police Detective Film  •  Psychological Thriller,7.6
Love Story,1970,Arthur Hiller,99,"Ali MacGraw, John Marley, Ray Milland",Comedy  •  Satire,6.9
Donkey Skin,1970,Jacques Demy,100,"Catherine Deneuve, Jean Marais, Jacques Perrin",Comedy  •  Romance  •  Romantic Comedy,7
Wanda,1970,Barbara Loden,102,"Barbara Loden, Michael Higgins, Dorothy Shupenes",Drama  •  Foreign Language Film  •  Social Problem Film,7.1
Zabriskie Point,1970,Michelangelo Antonioni,110,"Mark Frechette, Daria Halprin, Paul Fix",Black Comedy  •  Comedy  •  Crime Comedy,6.9
Ryan's Daughter,1970,David Lean,194,"Sarah Miles, Leo McKern, Trevor Howard",Avant-garde / Experimental  •  Documentary,7.4
Waterloo,1970,Sergei Bondarchuk,132,"Rod Steiger, Christopher Plummer, Orson Welles",Comedy  •  Slapstick  •  Buddy Film,7.3
Bed & Board,1970,François Truffaut,100,"Jean-Pierre Léaud, Claude Jade, Hiroko Berghauer",Comedy  •  Coming-of-Age  •  Period Film,7.4
The Garden of the Finzi-Continis,1970,Vittorio De Sica,94,"Romolo Valli, Dominique Sanda, Helmut Berger",Americana  •  Comedy  •  Satire,7.2
Even Dwarfs Started Small,1970,Werner Herzog,96,"Helmut Döring, Paul Glauer, Gisela Hertwig",Animated Musical  •  Animation  •  Fantasy,6.7
The Cheyenne Social Club,1970,Gene Kelly,103,"James Stewart, Henry Fonda, Shirley Jones",Crime Thriller  •  Crime  •  Drama,6.8
The Honeymoon Killers,1970,Leonard Kastle,115,"Shirley Stoler, Tony Lo Bianco, Mary Jane Higby",Comedy  •  Military Comedy  •  Musical,7
The Landlord,1970,Hal Ashby,112,"Beau Bridges, Pearl Bailey, Marki Bey",Comedy Drama  •  Drama  •  Fantasy Comedy,6.9
The Phantom Tollbooth,1970,Chuck Jones,90,"Butch Patrick, Daws Butler, Shepard Menken",Comedy  •  Romance  •  Romantic Comedy,6.7
Hatchet for the Honeymoon,1970,Mario Bava,88,"Stephen Forsyth, Dagmar Lassander, Laura Betti",Comedy  •  Parody/Spoof,6.3
Joe,1970,John G. Avildsen,107,"Peter Boyle, Dennis Patrick, Audrey Caire",Drama  •  Melodrama  •  Romance,6.8
The Twelve Chairs,1970,Mel Brooks,94,"Ron Moody, Frank Langella, Dom DeLuise",Childhood Drama  •  Drama  •  Foreign Language Film,6.4
There Was a Crooked Man...,1970,Joseph L. Mankiewicz,126,"Henry Fonda, Hume Cronyn, Warren Oates",Crime  •  Detective Film  •  Mystery,6.8
Santa Claus is Comin' to Town,1970,"Jules Bass, Arthur Rankin Jr.",48,"Keenan Wynn, Fred Astaire, Mickey Rooney",Comedy  •  Fantasy  •  Horror Comedy,7.7
The Boys in the Band,1970,William Friedkin,118,"Kenneth Nelson, Frederick Combs, Cliff Gorman",Crime Thriller  •  Crime  •  Drama,7.6
Cromwell,1970,Ken Hughes,139,"Richard Harris, Alec Guinness, Frank Finlay",Fantasy  •  Romance  •  Romantic Fantasy,7
Soldier Blue,1970,Ralph Nelson,112,"Candice Bergen, Peter Strauss, John Anderson",Action  •  Horror  •  Monster Film,6.9
The Great White Hope,1970,Martin Ritt,103,"James Earl Jones, Lou Gilbert, Joel Fluellen",Comedy Drama  •  Drama  •  Ensemble Film,6.9
"Hi, Mom!",1970,Brian De Palma,87,"Charles Durning, Robert De Niro, Allen Garfield",Drama  •  Foreign Language Film  •  Polish Film School,6.1
The Molly Maguires,1970,Martin Ritt,124,"Sean Connery, Richard Harris, Samantha Eggar",Action Thriller  •  Action  •  Adventure,6.8
