title,year,director,duration,cast,genre
The Man Who Shot Liberty Valance,1962,John Ford,123,"John Wayne, James Stewart, Vera Miles",Fantasy  •  Romance  •  Romantic Fantasy
The Conversation,1974,Francis Ford Coppola,113,"Gene Hackman, John Cazale, Allen Garfield",Drama  •  Outlaw  •  Revisionist Western
The Philadelphia Story,1940,George Cukor,112,"Cary Grant, Katharine Hepburn, James Stewart",Drama  •  New Hollywood  •  Paranoid Thriller
All About Eve,1950,Joseph L. Mankiewicz,138,"Bette Davis, Anne Baxter, George Sanders",Based-on-Theatre  •  Comedy  •  Romance
Groundhog Day,1993,Harold Ramis,101,"Bill Murray, Andie MacDowell, Chris Elliott",Comedy Drama  •  Drama  •  Showbiz Drama
Cool Hand Luke,1967,Stuart Rosenberg,126,"Paul Newman, George Kennedy, Strother Martin",Comedy  •  Fantasy Comedy  •  Fantasy
Raging Bull,1980,Martin Scorsese,129,"Robert De Niro, Cathy Moriarty, Joe Pesci",Drama  •  New Hollywood  •  Prison Film
Shadow of a Doubt,1943,Alfred Hitchcock,108,"Teresa Wright, Joseph Cotten, MacDonald Carey",Based-on-20th-Century-Literature  •  Based-on-a-True-Story  •  Biopic
Good Will Hunting,1997,Gus Van Sant,126,"Matt Damon, Robin Williams, Ben Affleck",Crime Thriller  •  Crime  •  Film Noir
Whiplash,2014,Damien Chazelle,106,"Miles Teller, J.K. Simmons, Paul Reiser",Coming-of-Age  •  Drama  •  Psychological Drama
The Rules of the Game,1939,Jean Renoir,110,"Nora Gregor, Paulette Dubost, Mila Parely",Drama  •  Psychological Drama
His Girl Friday,1940,Howard Hawks,92,"Cary Grant, Rosalind Russell, Ralph Bellamy",Comedy Drama  •  Drama  •  Ensemble Film
Out of the Past,1947,Jacques Tourneur,97,"Robert Mitchum, Jane Greer, Kirk Douglas",Based-on-Theatre  •  Comedy  •  Media Satire
Parasite,2019,Bong Joon Ho,132,"Kang-ho Song, Yeo-jeong Jo, So-dam Park",Based-on-20th-Century-Literature  •  Crime  •  Femme Fatale
Memories of Murder,2003,Bong Joon Ho,130,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim",Black Comedy  •  Comedy Drama  •  Comedy Thriller
Sherlock Jr.,1924,Buster Keaton,45,"Buster Keaton, Kathryn McGuire, Joe Keaton",Based-on-a-True-Story  •  Crime Drama  •  Crime Thriller
Badlands,1973,Terrence Malick,95,"Sissy Spacek, Martin Sheen, Gary Littlejohn",Action Comedy  •  Comedy  •  Crime Comedy
Shaun of the Dead,2004,Edgar Wright,99,"Simon Pegg, Nick Frost, Kate Ashfield",Americana  •  Based-on-a-True-Story  •  Coming-of-Age
No Country for Old Men,2007,Joel & Ethan Coen,122,"Tommy Lee Jones, Javier Bardem, Josh Brolin",Apocalyptic Film  •  Black Comedy  •  Comedy
Kill Bill Vol. 1,2003,Quentin Tarantino,111,"Uma Thurman, Lucy Liu, Vivica A. Fox",Based-on-21st-Century-Literature  •  Crime Thriller  •  Crime
In the Mood for Love,2000,Wong Kar-Wai,98,"Tony Leung Chiu Wai, Maggie Cheung, Ping Lam Siu",Action Thriller  •  Action  •  Feminist Film
Aguirre: The Wrath of God,1972,Werner Herzog,93,"Klaus Kinski, Helena Rojo, Del Negro",Drama  •  Foreign Language Film  •  Period Film
