title,year,director,duration,cast,genre
The Thrill of It All,1963,Norman Jewison,108,"Doris Day, James Garner, Arlene Francis",Comedy  •  Parody/Spoof  •  Romance
In the Cut,2003,Jane Campion,119,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh",Erotic Thriller  •  Feminist Film  •  Psychological Thriller
Traffic in Souls,1913,George Loane Tucker,88,"Jane Gail, Ethel Grandin, William H. Turner",Drama  •  Melodrama  •  Silent Film
Where the Boys Are,1960,Henry Levin,99,"Dolores Hart, George Hamilton, Yvette Mimieux",Beach Party Film  •  Comedy Drama  •  Comedy
Divergent,2014,Neil Burger,139,"Shailene Woodley, Theo James, Kate Winslet",Action Thriller  •  Action  •  Based-on-21st-Century-Literature
The Matrix Resurrections,2021,Lana Wachowski,140,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II",Action  •  Cyberpunk / Tech Noir  •  Cyborg / Android / Robot
Feeling Minnesota,1996,Steven Baigelman,99,"Vincent D'Onofrio, Delroy Lindo, Tuesday Weld",Romance  •  Comedy  •  Road Movie
Hamlet,1964,Grigori Kozintsev,148,"Innokenti Smoktunovsky, Mikhail Nazvanov, Elza Radzina",Based-on-Shakespeare  •  Based-on-Theatre  •  Drama
Animal Factory,2000,Steve Buscemi,94,"Edward Furlong, Willem Dafoe, Danny Trejo",Crime  •  Crime Drama  •  Drama
America,1924,D.W. Griffith,93,"Neil Hamilton, Carol Dempster, Arthur Dewey",Costume Adventure  •  Costume Romance  •  Epic
Julieta,2016,Pedro Almodóvar,99,"Adriana Ugarte, Emma Suárez, Rossy de Palma",Drama  •  Family Drama  •  Foreign Language Film
Mamma Mia! Here We Go Again,2018,Ol Parker,114,"Meryl Streep, Lily James, Amanda Seyfried",Comedy  •  Ensemble Film  •  Jukebox Musical
Gross Anatomy,1989,Thom Eberhardt,109,"Matthew Modine, Daphne Zuniga, Christine Lahti",Comedy Drama  •  Romance  •  Romantic Comedy
Page One: Inside the New York Times,2011,Andrew Rossi,89,David Carr,Culture and Society  •  Documentary
Northwest Hounded Police,1946,Tex Avery,7,Bill Thompson,Animation  •  Cartoon  •  Comedy
A Busy Day,1914,Mack Sennett,6,"Charles Chaplin, Mack Swain",Comedy  •  Comedy of Errors  •  Short Film
The Manicure Lady,1911,Mack Sennett,11,Mack Sennett,Comedy  •  Short Film  •  Silent Film
Magic Bricks,1908,Segundo de Chomón,3,NA,Fantasy  •  Short Film  •  Silent Film
The Prisoner of Zenda,1952,Richard Thorpe,96,"Jane Greer, Stewart Granger, Louis Calhern",Adventure  •  Costume Adventure  •  Romantic Adventure
A Song Is Born,1948,Howard Hawks,116,"Danny Kaye, Virginia Mayo, Benny Goodman",Comedy  •  Musical  •  Musical Comedy
The Cat from Outer Space,1978,Norman Tokar,104,"Sandy Duncan, Harry Morgan, McLean Stevenson",Animal Picture  •  Comedy  •  Family
Deadline - U.S.A.,1952,Richard Brooks,87,"Humphrey Bogart, Ethel Barrymore, Ed Begley",Crime Drama  •  Crime  •  Drama
Dragon Ball Z: Super Android 13!,1992,Kazuhito Kikuchi,45,"Masako Nozawa, Kazuyuki Sogabe, Mayumi Tanaka",Action  •  Animation  •  Anime
Female Vampire,1973,Jesús Franco,82,"Jack Taylor, Alice Arno, Jesús Franco",Exploitation Film  •  Foreign Language Film  •  Horror
Maximum Risk,1996,Ringo Lam,100,"Zach Grenier, Stéphane Audran, Stefanos Miltsakakis",Action  •  Action Thriller  •  Martial Arts
The Perfume of the Lady in Black,1974,Francesco Barilli,101,"Mimsy Farmer, Maurizio Bonuglia, Mario Scaccia",Foreign Language Film  •  Giallo  •  Horror
Jackass Forever,2022,Jeff Tremaine,96,"Johnny Knoxville, Steve-O, Chris Pontius",Based-on-Television  •  Comedy  •  Documentary
Volcano,1997,Mick Jackson,104,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann",Action Thriller  •  Action  •  Disaster Film
Hearts and Planets,1915,Mack Sennett,5,NA,Comedy  •  Short Film  •  Silent Film
A Blade in the Dark,1983,Lamberto Bava,110,"Andrea Occhipinti, Anny Papa, Fabiola Toledo",Crime  •  Foreign Language Film  •  Giallo
Sinbad: Legend of the Seven Seas,2003,Patrick Gilmore,86,"Brad Pitt, Catherine Zeta-Jones, Dennis Haysbert",Adventure  •  Animation  •  Family-Oriented Adventure
London After Midnight,1927,Tod Browning,69,"Lon Chaney, Marceline Day, Henry B. Walthall",Gothic Film  •  Monster Film  •  Police Detective Film
Vertical Limit,2000,Martin Campbell,124,"Bill Paxton, Izabella Scorupco, Scott Glenn",Action Thriller  •  Action  •  Adventure Drama
Footnote,2011,Joseph Cedar,103,"Lior Ashkenazi, Yuval Scharf, Shmuel Shiloh",Drama  •  Foreign Language Film  •  Psychological Drama
The Hilarious Posters,1906,Georges Méliès,3,NA,Fantasy  •  Short Film  •  Silent Film
The Merry Widow,1925,Erich von Stroheim,137,"Mae Murray, John Gilbert, Roy D'Arcy",Black Comedy  •  Drama  •  Romantic Drama
Elegy,2008,Isabel Coixet,108,"Penélope Cruz, Patricia Clarkson, Ben Kingsley",Drama  •  Female-Directed Film  •  Psychological Drama
Terror in the Aisles,1984,Andrew J. Kuehn,84,"Donald Pleasence, Nancy Allen, Bela Lugosi",Documentary  •  Media Documentary
Rory O'Shea Was Here,2004,Damien O'Donnell,104,"James McAvoy, Romola Garai, Tom Hickey",Buddy Film  •  Comedy Drama  •  Drama
The Ghost of Slumber Mountain,1918,Willis H. O'Brien,16,"Herbert M. Dawley, WIllis H. O'Brien",Fantasy  •  Prehistoric Fantasy  •  Short Film
"Goodbye, Mr. Chips",1969,Herbert Ross,155,"Peter O'Toole, Petula Clark, Michael Redgrave",Drama  •  Musical  •  Musical Drama
The Genii of Fire,1908,Georges Méliès,4,NA,Short Film  •  Silent Film
Murder Ahoy,1964,George Pollock,93,"Lionel Jeffries, Stringer Davis, William Mervyn",Comedy  •  Crime  •  Detective Film
The Joyless Street,1925,Georg Wilhelm Pabst,125,"Asta Nielsen, Greta Garbo, Agnes Esterhazy",Drama  •  Ensemble Film  •  Foreign Language Film
The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,113,"Julie Andrews, John Rhys-Davies, Chris Pine",Comedy  •  Comedy of Manners  •  Romance
The Devil and the Statue,1901,Georges Méliès,2,NA,Fantasy  •  Short Film  •  Silent Film
The Big Picture,1989,Christopher Guest,100,"Kevin Bacon, Emily Longstreth, Jennifer Jason Leigh",Comedy  •  Drama  •  Satire
The Ten,2007,David Wain,96,"Paul Rudd, Famke Janssen, Winona Ryder",Absurd Comedy  •  Anthology Film  •  Comedy
Everybody's Fine,2009,Kirk Jones,99,"Sam Rockwell, Robert De Niro, Katherine Moennig",Drama  •  Road Movie
Double Suicide,1969,Masahiro Shinoda,142,"Shima Iwashita, Kichiemon Nakamura, Tokie Hidari",Costume Romance  •  Drama  •  Foreign Language Film
The Thing Called Love,1993,Peter Bogdanovich,116,"River Phoenix, Samantha Mathis, Dermot Mulroney",Drama  •  Ensemble Film  •  Romantic Drama
White Sands,1992,Roger Donaldson,101,"Willem Dafoe, Mickey Rourke, Mary Elizabeth Mastrantonio",Crime  •  Police Detective Film  •  Post-Noir
Burnt by the Sun,1994,Nikita Mikhalkov,135,"Oleg Menshikov, Nikita Mikhalkov, Ingeborga Dapkunaite",Drama  •  Family Drama  •  Foreign Language Film
Cry Danger,1951,Robert Parrish,79,"Dick Powell, Rhonda Fleming, Richard Erdman",Crime Drama  •  Crime Thriller  •  Crime
My Name Is Bruce,2007,Bruce Campbell,86,"Bruce Campbell, Ted Raimi, Grace Thorsen",Comedy  •  Comedy of Errors  •  Horror
No Sudden Move,2021,Steven Soderbergh,115,"Don Cheadle, Benicio Del Toro, David Harbour",Crime Drama  •  Crime  •  Drama
Turtles Forever,2009,"Roy Burdine, Lloyd Goldfine",90,"Wayne Grayson, Michael Sinterniklaas, Sam Riegel",Action  •  Action Comedy  •  Action Thriller
Once Upon a Time in China III,1992,Hark Tsui,105,"Jet Li, Rosamund Kwan, Siu Chung Mok",Action  •  Drama  •  Foreign Language Film
Doctor Strange,2007,"Jay Oliva, Frank Paur, Patrick Archibald, Dick Sebast",76,"Michael Yama, Jonathan Adams, Bryce Johnson",Action  •  Animation  •  Based-on-Comics
The Nasty Girl,1990,Michael Verhoeven,92,"Monika Baumgartner, Michael Gahr, Richard Susmeier",Comedy Drama  •  Foreign Language Film  •  Political Satire
Patty Hearst,1988,Paul Schrader,108,"Natasha Richardson, William Forsythe, Dana Delaney",Based-on-a-True-Story  •  Biopic  •  Crime
Armored Car Robbery,1950,Richard Fleischer,67,"Charles McGraw, Adele Jergens, William Talman",Caper  •  Crime Thriller  •  Crime
The Ugly Duckling,1931,Wilfred Jackson,7,Florence Gill,Animation  •  Coming-of-Age  •  Fairy Tales and Legends
Sound of the Mountain,1954,Mikio Naruse,96,"Setsuko Hara, So Yamamura, Ken Uehara",Drama  •  Family Drama  •  Foreign Language Film
Marebito,2004,Takashi Shimizu,92,"Shinya Tsukamoto, Tomomi Miyashita, Kazuhiro Nakahara",Based-on-21st-Century-Literature  •  Foreign Language Film  •  Horror
Pajama Party,1964,Don Weis,82,"Tommy Kirk, Annette Funicello, Elsa Lanchester",Beach Party Film  •  Comedy  •  Romantic Comedy
Lions for Lambs,2007,Robert Redford,92,"Robert Redford, Meryl Streep, Andrew Garfield",Drama  •  Ensemble Film  •  Political Drama
The Substitute,1996,Robert Mandel,114,"Ernie Hudson, Tom Berenger, Diane Venora",Action  •  Action Thriller  •  Crime
Birthday Girl,2002,Jez Butterworth,93,"Ben Chaplin, Vincent Cassel, Kate Lynn Evans",Black Comedy  •  Comedy Drama  •  Con Artist / Hustler
The Last 5 Years,2014,Richard LaGravenese,94,"Anna Kendrick, Jeremy Jordan, Natalie Knepp",Comedy  •  Musical  •  Musical Comedy
Twenty Minutes of Love,1914,"Joseph Maddern, Charles Chaplin",20,"Charles Chaplin, Minta Durfee, Edgar Kennedy",Comedy  •  Short Film  •  Silent Film
Gidget,1959,Paul Wendkos,95,"Sandra Dee, Cliff Robertson, James Darren",Beach Party Film  •  Comedy
1492: Conquest of Paradise,1992,Ridley Scott,154,"Gérard Depardieu, Armand Assante, Sigourney Weaver",Adventure  •  Adventure Drama  •  Drama
Sydney White,2007,Joe Nussbaum,108,"Amanda Bynes, Sara Paxton, Jack Carpenter",Based-on-19th-Century-Literature  •  Comedy  •  Romance
RBG,2018,"Julie Cohen, Betsy West",97,"Ruth Bader Ginsburg, Gloria Steinem, Nina Totenberg",Biography  •  Culture and Society  •  Documentary
The Face on the Barroom Floor,1914,Charles Chaplin,14,"Charles Chaplin, Cecile Arnold, Fritz Schade",Comedy  •  Short Film  •  Silent Film
Hope Floats,1998,Forest Whitaker,114,"Harry Connick Jr., Gena Rowlands, Mae Whitman",Comedy Drama  •  Domestic Comedy  •  Drama
The Rum Diary,2011,Bruce Robinson,120,"Johnny Depp, Aaron Eckhart, Michael Rispoli",Absurd Comedy  •  Based-on-20th-Century-Literature  •  Buddy Film
The Silent Scream,1980,Denny Harris,87,"Rebecca Balding, Cameron Mitchell, Avery Schreiber",Horror  •  Mystery  •  Slasher Film
Two Evil Eyes,1990,"Dario Argento, George A. Romero",121,"Harvey Keitel, Adrienne Barbeau, Tom Atkins",Anthology Film  •  Based-on-19th-Century-Literature  •  Horror
Two Tars,1928,James Parrott,21,"Stan Laurel, Oliver Hardy, Edgar Kennedy",Comedy  •  Short Film  •  Silent Film
State of Play,2003,David Yates,340,"John Simm, Kelly MacDonald, David Morrissey",Drama  •  Made-for-Television  •  Mini-Series
The Two Mouseketeers,1951,"Joseph Barbera, William Hanna",8,Francoise Brun-Cottan,Animation  •  Cartoon  •  Comedy
The House on 92nd Street,1945,Henry Hathaway,88,"William Eythe, Lloyd Nolan, Signe Hasso",Docudrama  •  Film Noir  •  Spy Film
Confessions of a Shopaholic,2009,P.J. Hogan,104,"Isla Fisher, Hugh Dancy, Krysten Ritter",Comedy  •  Romance  •  Romantic Comedy
The Reivers,1969,Mark Rydell,107,"Steve McQueen, Will Geer, Rupert Crosse",Adventure  •  Americana  •  Childhood Drama
The Weather Underground,2002,"Sam Green, Bill Siegel",92,"Bernardine Dohrn, David Gilbert, Laura Whitehorn",Culture and Society  •  Documentary  •  History
Women of the Night,1948,Kenji Mizoguchi,105,"Kinuyo Tanaka, Sanae Takasugi, Mitsuo Nagata",Drama  •  Foreign Language Film  •  Melodrama
In the Bogie Man's Cave,1907,Georges Méliès,6,NA,Fantasy  •  Short Film  •  Silent Film
The Naughty Nineties,1945,Jean Yarbrough,76,"Bud Abbott, Lou Costello, Alan Curtis",Comedy  •  Crime  •  Crime Comedy
Right at Your Door,2006,Chris Gorak,96,"Mary McCormack, Tony Perez, Max Kasch",Disaster Film  •  Psychological Thriller  •  Thriller
"Tchin-Chao, the Chinese Conjuror",1904,Georges Méliès,3,Georges Melies,Avant-garde / Experimental  •  Fantasy  •  Short Film
Perversion Story,1969,Lucio Fulci,97,"Jean Sorel, Marisa Mell, Elsa Martinelli",Foreign Language Film  •  Giallo  •  Mystery
The Mask of Dimitrios,1944,Jean Negulesco,95,"Sydney Greenstreet, Zachary Scott, Faye Emerson",Film Noir  •  Mystery  •  Psychological Thriller
My Old Ass,2024,Megan Park,89,"Maisy Stella, Aubrey Plaza, Percy Hynes White",Comedy Drama  •  Coming-of-Age  •  Drama
The Collection,2012,Marcus Dunstan,94,"Josh Stewart, Emma Fitzpatrick, Lee Tergesen",Action  •  Horror  •  Sadistic Horror
The Lonedale Operator,1911,D.W. Griffith,17,"Blanche Sweet, Francis J. Grandon, Wilfred Lucas",Drama  •  Short Film  •  Silent Film
The Condemned,2007,Scott Wiper,113,"Steve Austin, Robert Mammone, Manu Bennett",Action  •  Escape Film
8MM,1999,Joel Schumacher,123,"Nicolas Cage, Peter Stormare, Catherine Keener",Crime  •  Crime Thriller  •  Thriller
The Spider Woman,1944,Roy William Neill,63,"Vernon Downing, Dennis Hoey, Basil Rathbone",Based-on-19th-Century-Literature  •  Crime Thriller  •  Crime
The Tall Target,1951,Anthony Mann,78,"Dick Powell, Paula Raymond, Adolphe Menjou",Adventure Drama  •  Adventure  •  Crime
Me Before You,2016,Thea Sharrock,110,"Emilia Clarke, Sam Claflin, Jenna Coleman",Drama  •  Female-Directed Film  •  Romance
True Colors,1991,Herbert Ross,111,"John Cusack, James Spader, Imogen Stubbs",Drama  •  Political Drama
Hell Drivers,1957,Cy Endfield,108,"Stanley Baker, Herbert Lom, Patrick McGoohan",Crime Drama  •  Crime  •  Drama
The Hairdresser's Husband,1990,Patrice Leconte,82,"Jean Rochefort, Anna Galiena, Roland Bertin",Comedy Drama  •  Drama  •  Foreign Language Film
Aladdin,2019,Guy Ritchie,128,"Mena Massoud, Will Smith, Naomi Scott",Adventure Comedy  •  Adventure  •  Comedy
The Fairy of the Surf,1909,Louis Feuillade,12,NA,Short Film  •  Silent Film
Showgirls,1995,Paul Verhoeven,131,"Elizabeth Berkley, Gina Gershon, Kyle MacLachlan",Drama  •  Erotic Drama  •  Showbiz Drama
Paper Heart,2009,Nicholas Jasenovec,88,"Charlyne Yi, Michael Cera, Jake M. Johnson",Comedy  •  Mockumentary  •  Romance
Paper Towns,2015,Jake Schreier,109,"Nat Wolff, Cara Delevingne, Austin Abrams",Comedy  •  Coming-of-Age  •  Road Movie
Colorado Territory,1949,Raoul Walsh,94,"Joel McCrea, Virginia Mayo, Dorothy Malone",Crime Drama  •  Crime  •  Drama
Mobsters,1991,Michael Karbelnikoff,104,"Christian Slater, Patrick Dempsey, Anthony Quinn",Crime  •  Gangster Film  •  Crime Drama
Santa Fe Trail,1940,Michael Curtiz,110,"Errol Flynn, Olivia de Havilland, Raymond Massey",Action  •  Adventure  •  Drama
The Rite,1969,Ingmar Bergman,72,"Ingrid Thulin, Anders Ek, Gunnar Björnstrand",Drama  •  Foreign Language Film  •  Mystery
The Adventures of Baron Munchausen,1943,Josef von Báky,134,"Hans Albers, Wilhelm Bendow, Brigitte Horney",Adventure  •  Adventure Comedy  •  Comedy
Downhill,1927,Alfred Hitchcock,80,"Ivor Novello, Robin Irvine, Isabel Jeans",Drama  •  Family Drama  •  Silent Film
Hoodlum,1997,Bill Duke,130,"Laurence Fishburne, Andy Garcia, Tim Roth",Crime Drama  •  Crime  •  Drama
Cinderella,1957,Ralph Nelson,76,"Julie Andrews, Howard Lindsay, Dorothy Stickney",Fairy Tales and Legends  •  Fantasy  •  Made-for-Television
Young at Heart,1954,Gordon Douglas,117,"Doris Day, Frank Sinatra, Gig Young",Drama  •  Musical  •  Romance
The Fab Five,2011,Jason Hehir,100,"Juwan Howard, Jalen Rose, Jimmy A. King",Documentary  •  Made-for-Television  •  Sports and Recreation
The Devil's Brigade,1968,Andrew V. McLaglen,130,"William Holden, Cliff Robertson, Vince Edwards",Action  •  Adventure  •  Drama
Demons,1971,Toshio Matsumoto,135,"Katsuo Nakamura, Yasuko Sanjo, Juro Kara",Drama  •  Foreign Language Film  •  Horror
Visages d'enfants,1925,Jacques Feyder,114,"Jean Forest, Victor Vina, Pierrette Houyez",Drama  •  Family Drama  •  Foreign Language Film
Death Takes A Holiday,1934,Mitchell Leisen,79,"Fredric March, Evelyn Venable, Guy Standing",Drama  •  Fantasy  •  Romance
Year of the Dog,2007,Mike White,97,"Josh Pais, Dale Godboldo, Inara George",Black Comedy  •  Comedy Drama  •  Workplace Comedy
City of Women,1980,Federico Fellini,139,"Marcello Mastroianni, Anna Prucnal, Bernice Stegers",Comedy  •  Fantasy  •  Fantasy Comedy
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Michael Apted,112,"Georgie Henley, Skandar Keynes, Ben Barnes",Adventure  •  Based-on-20th-Century-Literature  •  Family-Oriented Adventure
Shrek the Third,2007,Chris Miller,92,"Mike Myers, Antonio Banderas, Eddie Murphy",Adventure Comedy  •  Adventure  •  Animation
Hillbilly Hare,1950,Robert McKimson,7,NA,Animation  •  Cartoon  •  Comedy
The Life and Death of 9413 - A Hollywood Extra,1928,"Robert Florey, Slavko Vorkapich",11,NA,Avant-garde / Experimental  •  Short Film  •  Silent Film
The Fall of Babylon,1919,D.W. Griffith,82,NA,Drama  •  Silent Film
The New York Hat,1912,D.W. Griffith,16,"Mary Pickford, Lionel Barrymore, Charles Hill Mailes",Drama  •  Short Film  •  Silent Film
Pretty Maids All in a Row,1971,Roger Vadim,91,"Rock Hudson, Angie Dickinson, Telly Savalas",Black Comedy  •  Comedy Thriller  •  Thriller
Supervixens,1975,Russ Meyer,106,"Shari Eubank, Charles Napier, Uschi Digard",Action  •  Comedy  •  Exploitation Film
The Golden Compass,2007,Chris Weitz,113,"Nicole Kidman, Dakota Blue Richards, Eva Green",Adventure  •  Based-on-20th-Century-Literature  •  Fantasy Adventure
An Honest Liar,2014,"Tyler Measom, Justin Weinstein",90,"Banachek, Alice Cooper, Michael Edwards",Culture and Society  •  Documentary
Dear John,2010,Lasse Hallström,105,"Amanda Seyfried, Richard Jenkins, Channing Tatum",Drama  •  Romance  •  Romantic Drama
Strange Invaders,1983,Michael Laughlin,92,"Paul Lemat, Nancy Allen, Michael Lerner",Alien Invasion Films  •  Science Fiction
Poultrygeist: Night of the Chicken Dead,2006,Lloyd Kaufman,103,"Jason Yachanin, Kate Graham, Allyson Sereboff",Comedy  •  Horror Comedy  •  Horror
Housesitter,1992,Frank Oz,102,"Steve Martin, Goldie Hawn, Dana Delany",Comedy  •  Romance  •  Screwball Comedy
Look Who's Back,2015,David Wnendt,116,"Oliver Masucci, Fabian Busch, Christoph Maria Herbst",Comedy  •  Foreign Language Film  •  Satire
Devil,2010,John Erick Dowdle,80,"Chris Messina, Logan Marshall-Green, Jenny O'Hara",Horror  •  Mystery  •  Religious Horror
Hare Force,1944,Friz Freleng,7,NA,Animation  •  Cartoon  •  Comedy
Sonic the Hedgehog 2,2022,Jeff Fowler,122,"Ben Schwartz, Idris Elba, Colleen O'Shaughnessey",Action Comedy  •  Action  •  Adventure Comedy
Another Country,1984,Marek Kanievska,90,"Rupert Everett, Colin Firth, Cary Elwes",Based-on-a-True-Story  •  Based-on-Theatre  •  Coming-of-Age
John Mulaney: Kid Gorgeous at Radio City,2018,Alex Timbers,65,John Mulaney,Comedy  •  Concert Film  •  Made-for-Television
Cimarron,1931,Wesley Ruggles,123,"William Collier, Jr., Irene Dunne, Richard Dix",Drama  •  Ensemble Film  •  Epic
Once a Thief,1991,John Woo,103,"Chow Yun-Fat, Leslie Cheung, Cherie Chung",Action Comedy  •  Action  •  Buddy Film
He Knows You're Alone,1980,Armand Mastroianni,94,"Don Scardino, Caitlin O'Heaney, Elizabeth Kemp",Horror  •  Slasher Film  •  Thriller
House by the River,1950,Fritz Lang,88,"Louis Hayward, Jane Wyatt, Lee Bowman",Crime Drama  •  Crime  •  Drama
The Wabbit Who Came to Supper,1942,Friz Freleng,8,NA,Animation  •  Cartoon  •  Comedy
Johnny English,2003,Peter Howitt,87,"Rowan Atkinson, John Malkovich, Natalie Imbruglia",Comedy of Errors  •  Comedy  •  Spy Comedy
The T.A.M.I. Show,1964,Steve Binder,123,NA,Concert Film  •  Documentary  •  Music
Forbidden World,1982,Allan Holzman,77,"Jesse Vint, Dawn Dunlap, Fox Harris",Horror  •  Monster Film  •  Sci-Fi Horror
Winter Passing,2005,Adam Rapp,98,"Zooey Deschanel, Ed Harris, Will Ferrell",Comedy Drama  •  Drama  •  Psychological Drama
Leap of Faith,1992,Richard Pearce,108,"Steve Martin, Debra Winger, Liam Neeson",Comedy Drama  •  Satire  •  Romantic Comedy
Extreme Measures,1996,Michael Apted,118,"Sarah Jessica Parker, David Morse, Bill Nunn",Drama  •  Medical Drama  •  Psychological Thriller
Mad as a Mars Hare,1963,"Chuck Jones, Maurice Noble",7,NA,Animation  •  Cartoon  •  Comedy
The Satan Bug,1965,John Sturges,114,"Richard Basehart, Anne Francis, Dana Andrews",Action Thriller  •  Action  •  Chase Movie
Night Tide,1961,Curtis Harrington,85,"Dennis Hopper, Linda Lawson, Gavin Muir",Mystery  •  Psychological Thriller  •  Romance
Suzume,2022,Makoto Shinkai,122,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu",Action  •  Adventure  •  Animation
Frankenstein Unbound,1990,Roger Corman,82,"Bridget Fonda, Raul Julia, Nick Brimble",Costume Horror  •  Horror  •  Monster Film
Jim Gaffigan: Beyond the Pale,2006,Michael Drumm,72,Jim Gaffigan,Comedy  •  Concert Film  •  Made-for-Television
The Chant of Jimmie Blacksmith,1978,Fred Schepisi,120,"Tommy Lewis, Freddy Reynolds, Ray Barrett",Australian New Wave  •  Drama  •  Psychological Drama
Under Siege 2: Dark Territory,1995,Geoff Murphy,99,"Steven Seagal, Eric Bogosian, Everett McGill",Action  •  Action Thriller  •  Martial Arts
Boy,1969,Nagisa Ôshima,105,"Fumio Watanabe, Akiko Koyama, Tetsuo Abe",Con Artist / Hustler  •  Crime  •  Crime Drama
Still Life,2006,Zhangke Jia,111,"Tao Zhao, Zhou Lan, Sanming Han",Drama  •  Foreign Language Film  •  Social Problem Film
Turk 182!,1985,Bob Clark,102,"Timothy Hutton, Robert Urich, Kim Cattrall",Action  •  Comedy Drama
A Star Is Born,1976,Frank Pierson,139,"Oliver Clark, Vanetta Fields, Barbra Streisand",Drama  •  Musical Drama  •  Musical
Capernaum,2018,Nadine Labaki,121,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",Drama  •  Family Drama  •  Female-Directed Film
Return to Reason,1923,Man Ray,3,Kiki of Montparnasse,Avant-garde / Experimental  •  Short Film  •  Silent Film
Mabel at the Wheel,1914,"Mabel Normand, Mack Sennett",18,"Charles Chaplin, Mabel Normand, Harry McCoy",Comedy  •  Short Film  •  Silent Film
200 Cigarettes,1999,Risa Bramon Garcia,101,"Ben Affleck, Casey Affleck, Dave Chappelle",Comedy  •  Ensemble Film  •  Hyperlink Film
Dragonfly,2002,Tom Shadyac,104,"Kevin Costner, Susanna Thompson, Ron Rifkin",Drama  •  Psychological Thriller  •  Romance
Rudyard Kipling's The Jungle Book,1994,Stephen Sommers,111,"Jason Scott Lee, Cary Elwes, Lena Headey",Adventure Drama  •  Adventure  •  Based-on-19th-Century-Literature
Dreams,1955,Ingmar Bergman,87,"Eva Dahlberg, Harriet Andersson, Gunnar Björnstrand",Drama  •  Foreign Language Film  •  Marriage Drama
Beach Blanket Bingo,1965,William Asher,98,"Annette Funicello, Donna Loren, Marta Kristen",Beach Party Film  •  Comedy  •  Musical
Return of the Seven,1966,Burt Kennedy,95,"Claude Akins, Yul Brynner, Warren Oates",Traditional Western  •  Western
Brother Orchid,1940,Lloyd Bacon,88,"Ralph Bellamy, Edward G. Robinson, Donald Crisp",Comedy  •  Crime Comedy  •  Crime
The Call of the Wild,1935,William A. Wellman,81,"Clark Gable, Loretta Young, Jack Oakie",Action  •  Adventure Drama  •  Adventure
Eastern Condors,1987,Sammo Hung,93,"Sammo Hung, Biao Yuen, Joyce Godenzi",Action  •  Adventure  •  Foreign Language Film
Trick or Treat,1952,Jack Hannah,8,NA,Animation  •  Cartoon  •  Comedy
Immortals,2011,Tarsem Singh,110,"Henry Cavill, Mickey Rourke, Stephen Dorff",Action  •  Adventure  •  Epic
Superman/Shazam!: The Return of Black Adam,2010,Joaquim Dos Santos,22,"Zach Callison, James Garner, Jerry O'Connell",Action  •  Animation  •  Based-on-Comics
Jeopardy,1953,John Sturges,69,"Barbara Stanwyck, Barry Sullivan, Ralph Meeker",Film Noir  •  Psychological Thriller  •  Thriller
Signs of Life,1968,Werner Herzog,91,"Peter Brogle, Wolfgang Reichmann, Athina Zacharopoulou",Drama  •  Foreign Language Film  •  New German Cinema
The Cow,1969,Dariush Mehrjui,105,"Ezzatolah Entezami, Ali Nassirian, Jamshid Mashayekhi",Drama  •  Foreign Language Film  •  Iranian New Wave
Rip's Toast,1896,William K.L. Dickson,1,Joseph Jefferson,Based-on-19th-Century-Literature  •  Short Film  •  Silent Film
Outrageous Fortune,1987,Arthur Hiller,100,"Shelley Long, Bette Midler, Robert Prosky",Action  •  Action Comedy  •  Buddy Film
Max,2002,Menno Meyjes,106,"John Cusack, Paul Hipp, Judit Hernadi",Drama  •  Period Film
Sundays and Cybele,1962,Serge Bourguignon,110,"Hardy Kruger, Nicole Courcel, Patricia Gozzi",Drama  •  Foreign Language Film  •  Psychological Drama
Total Eclipse,1995,Agnieszka Holland,111,"Romane Bohringer, David Thewlis, Leonardo DiCaprio",Based-on-a-True-Story  •  Biopic  •  Drama
The Confession,1970,Costa-Gavras,139,"Yves Montand, Jean Bouise, Georges Aubert",Drama  •  Foreign Language Film  •  Political Drama
Goosebumps,2015,Rob Letterman,103,"Jack Black, Dylan Minnette, Odeya Rush",Comedy  •  Family-Oriented Comedy  •  Family-Oriented Fantasy
The Star Chamber,1983,Peter Hyams,109,"Michael Douglas, Yaphet Kotto, Sharon Gless",Paranoid Thriller  •  Thriller
Teddy at the Throttle,1917,Clarence G. Badger,18,"Bobby Vernon, Gloria Swanson, Wallace Beery",Comedy  •  Short Film  •  Silent Film
Ernest Goes to Camp,1987,John R. Cherry III,92,"Jim Varney, Victoria Racimo, John Vernon",Comedy  •  Family-Oriented Comedy  •  Farce
The Valley of the Bees,1968,Frantisek Vlácil,97,"Petr Cepek, Jan Kacer, Vera Galatikova",Czechoslovak New Wave  •  Drama  •  Foreign Language Film
Dead Man on Campus,1998,Alan Cohn,96,"Mark-Paul Gosselaar, Lochlyn Munro, Corey Page",Black Comedy
Brannigan,1975,Douglas Hickox,111,"John Wayne, Richard Attenborough, Judy Geeson",Action  •  Action Thriller  •  Police Detective Film
