title,year,director,duration,cast,genre,imdb_rating
Fiddler on the Roof,1971,Norman Jewison,181,Leonard Frey,Action  •  Action Thriller  •  Adventure,8
Wake in Fright,1971,Ted Kotcheff,114,Donald Pleasence,Black Comedy  •  Comedy Drama  •  Drama,7.6
Wake in Fright,1971,Ted Kotcheff,114,Gary Bond,Black Comedy  •  Comedy Drama  •  Drama,7.6
Wake in Fright,1971,Ted Kotcheff,114,Chips Rafferty,Black Comedy  •  Comedy Drama  •  Drama,7.6
Klute,1971,Alan J. Pakula,114,Donald Sutherland,Animation  •  Anime  •  Drama,7.1
Klute,1971,Alan J. Pakula,114,Jane Fonda,Animation  •  Anime  •  Drama,7.1
Klute,1971,Alan J. Pakula,114,Charles Cioffi,Animation  •  Anime  •  Drama,7.1
Bananas,1971,Woody Allen,82,Woody Allen,Based-on-20th-Century-Literature  •  Horror  •  Psychological Horror,6.9
Bananas,1971,Woody Allen,82,Louise Lasser,Based-on-20th-Century-Literature  •  Horror  •  Psychological Horror,6.9
Bananas,1971,Woody Allen,82,Carlos Montalban,Based-on-20th-Century-Literature  •  Horror  •  Psychological Horror,6.9
Vanishing Point,1971,Richard C. Sarafian,98,Barry Newman,Comedy  •  Family-Oriented Fantasy  •  Fantasy,7.2
Vanishing Point,1971,Richard C. Sarafian,98,Cleavon Little,Comedy  •  Family-Oriented Fantasy  •  Fantasy,7.2
Vanishing Point,1971,Richard C. Sarafian,98,Dean Jagger,Comedy  •  Family-Oriented Fantasy  •  Fantasy,7.2
And Now for Something Completely Different,1971,Ian MacNaughton,88,Graham Chapman,Comedy  •  Family  •  Family-Oriented Comedy,7.5
And Now for Something Completely Different,1971,Ian MacNaughton,88,John Cleese,Comedy  •  Family  •  Family-Oriented Comedy,7.5
And Now for Something Completely Different,1971,Ian MacNaughton,88,Terry Gilliam,Comedy  •  Family  •  Family-Oriented Comedy,7.5
The Abominable Dr. Phibes,1971,Robert Fuest,94,Vincent Price,Based-on-20th-Century-Literature  •  Drama  •  Horror,7
The Abominable Dr. Phibes,1971,Robert Fuest,94,Joseph Cotten,Based-on-20th-Century-Literature  •  Drama  •  Horror,7
The Abominable Dr. Phibes,1971,Robert Fuest,94,Virginia North,Based-on-20th-Century-Literature  •  Drama  •  Horror,7
THX 1138,1971,George Lucas,86,Robert Duvall,Based-on-a-True-Story  •  Biopic  •  Drama,6.6
THX 1138,1971,George Lucas,86,Donald Pleasence,Based-on-a-True-Story  •  Biopic  •  Drama,6.6
THX 1138,1971,George Lucas,86,Don Pedro Colley,Based-on-a-True-Story  •  Biopic  •  Drama,6.6
A Touch of Zen,1971,King Hu,200,Ying Bai,Action  •  Drama  •  Romance,7.5
A Touch of Zen,1971,King Hu,200,Billy Chan,Action  •  Drama  •  Romance,7.5
A Touch of Zen,1971,King Hu,200,Ping-Yu Chang,Action  •  Drama  •  Romance,7.5
The Big Boss,1971,Wei Lo,99,Li Quinn,Alien Invasion Films  •  Horror  •  Mystery,6.9
The Big Boss,1971,Wei Lo,99,Paul Tien,Alien Invasion Films  •  Horror  •  Mystery,6.9
The Big Boss,1971,Wei Lo,99,Bruce Lee,Alien Invasion Films  •  Horror  •  Mystery,6.9
Play Misty for Me,1971,Clint Eastwood,102,Clint Eastwood,Based-on-19th-Century-Literature  •  Costume Romance  •  Drama,6.9
Play Misty for Me,1971,Clint Eastwood,102,Jessica Walter,Based-on-19th-Century-Literature  •  Costume Romance  •  Drama,6.9
Play Misty for Me,1971,Clint Eastwood,102,Donna Mills,Based-on-19th-Century-Literature  •  Costume Romance  •  Drama,6.9
Two-Lane Blacktop,1971,Monte Hellman,102,James Taylor,Action  •  Adventure  •  Costume Adventure,7.2
Two-Lane Blacktop,1971,Monte Hellman,102,Warren Oates,Action  •  Adventure  •  Costume Adventure,7.2
